Cell line	Data type	Sample	URL
K562	Control	wgEncodeBroadHistoneK562ControlStdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562ControlStdRawDataRep1.fastq.gz
K562	Ctcf	wgEncodeBroadHistoneK562CtcfStdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562CtcfStdRawDataRep1.fastq.gz
K562	Ctcf	wgEncodeBroadHistoneK562CtcfStdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562CtcfStdRawDataRep2.fastq.gz
K562	H2az	wgEncodeBroadHistoneK562H2azStdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H2azStdRawDataRep1.fastq.gz
K562	H2az	wgEncodeBroadHistoneK562H2azStdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H2azStdRawDataRep2.fastq.gz
K562	H3k4me1	wgEncodeBroadHistoneK562H3k4me1StdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k4me1StdRawDataRep1.fastq.gz
K562	H3k4me1	wgEncodeBroadHistoneK562H3k4me1StdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k4me1StdRawDataRep2.fastq.gz
K562	H3k4me2	wgEncodeBroadHistoneK562H3k4me2StdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k4me2StdRawDataRep1.fastq.gz
K562	H3k4me2	wgEncodeBroadHistoneK562H3k4me2StdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k4me2StdRawDataRep2.fastq.gz
K562	H3k4me3	wgEncodeBroadHistoneK562H3k4me3StdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k4me3StdRawDataRep1.fastq.gz
K562	H3k4me3	wgEncodeBroadHistoneK562H3k4me3StdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k4me3StdRawDataRep2.fastq.gz
K562	H3k9ac	wgEncodeBroadHistoneK562H3k9acStdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k9acStdRawDataRep1.fastq.gz
K562	H3k9ac	wgEncodeBroadHistoneK562H3k9acStdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k9acStdRawDataRep2.fastq.gz
K562	H3k9me3	wgEncodeBroadHistoneK562H3k9me3StdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k9me3StdRawDataRep1.fastq.gz
K562	H3k9me3	wgEncodeBroadHistoneK562H3k9me3StdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k9me3StdRawDataRep2.fastq.gz
K562	H3k27ac	wgEncodeBroadHistoneK562H3k27acStdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k27acStdRawDataRep1.fastq.gz
K562	H3k27ac	wgEncodeBroadHistoneK562H3k27acStdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k27acStdRawDataRep2.fastq.gz
K562	H3k27me3	wgEncodeBroadHistoneK562H3k27me3StdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k27me3StdRawDataRep1.fastq.gz
K562	H3k27me3	wgEncodeBroadHistoneK562H3k27me3StdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k27me3StdRawDataRep2.fastq.gz
K562	H3k36me3	wgEncodeBroadHistoneK562H3k36me3StdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k36me3StdRawDataRep1.fastq.gz
K562	H3k36me3	wgEncodeBroadHistoneK562H3k36me3StdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k36me3StdRawDataRep2.fastq.gz
K562	H3k79me2	wgEncodeBroadHistoneK562H3k79me2StdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k79me2StdRawDataRep1.fastq.gz
K562	H3k79me2	wgEncodeBroadHistoneK562H3k79me2StdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k79me2StdRawDataRep2.fastq.gz
K562	H4k20me1	wgEncodeBroadHistoneK562H4k20me1StdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H4k20me1StdRawDataRep1.fastq.gz
K562	H4k20me1	wgEncodeBroadHistoneK562H4k20me1StdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H4k20me1StdRawDataRep2.fastq.gz
K562	Pol2RawData	wgEncodeSydhTfbsK562Pol2RawDataRep1	http://hgdownload.cse.ucsc.edu/goldenpath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsK562Pol2RawDataRep1.fastq.gz 
K562	Pol2RawData	wgEncodeSydhTfbsK562Pol2RawDataRep2	http://hgdownload.cse.ucsc.edu/goldenpath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsK562Pol2RawDataRep2.fastq.gz 
K562	InputV2	wgEncodeSydhTfbsK562InputV2RawDataRep1	http://hgdownload.cse.ucsc.edu/goldenpath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsK562InputV2RawDataRep1.fastq.gz 
K562	InputV2	wgEncodeSydhTfbsK562InputV2RawDataRep2	http://hgdownload.cse.ucsc.edu/goldenpath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsK562InputV2RawDataRep2.fastq.gz 
K562	OpenChromDnase	wgEncodeOpenChromDnaseK562AlnRep1V2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseK562AlnRep1V2.bam 
K562	OpenChromDnase	wgEncodeOpenChromDnaseK562AlnRep1V2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseK562AlnRep1V2.bam.bai 
K562	OpenChromDnase	wgEncodeOpenChromDnaseK562AlnRep2V2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseK562AlnRep2V2.bam 
K562	OpenChromDnase	wgEncodeOpenChromDnaseK562AlnRep2V2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseK562AlnRep2V2.bam.bai 
K562	OpenChromDnase	wgEncodeOpenChromDnaseK562AlnRep3V2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseK562AlnRep3V2.bam 
K562	OpenChromDnase	wgEncodeOpenChromDnaseK562AlnRep3V2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseK562AlnRep3V2.bam.bai 
K562	Nsome	wgEncodeSydhNsomeK562AlnRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep1.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep1.bam.bai
K562	Nsome	wgEncodeSydhNsomeK562AlnRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep2.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep2.bam.bai
K562	Nsome	wgEncodeSydhNsomeK562AlnRep3	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep3.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep3	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep3.bam.bai
K562	Nsome	wgEncodeSydhNsomeK562AlnRep4	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep4.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep4	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep4.bam.bai
K562	Nsome	wgEncodeSydhNsomeK562AlnRep5	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep5.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep5	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep5.bam.bai
K562	Nsome	wgEncodeSydhNsomeK562AlnRep6	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep6.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep6	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep6.bam.bai
K562	Nsome	wgEncodeSydhNsomeK562AlnRep7	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep7.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep7	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep7.bam.bai
K562	Nsome	wgEncodeSydhNsomeK562AlnRep8	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep8.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep8	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep8.bam.bai
K562	Nsome	wgEncodeSydhNsomeK562AlnRep9	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep9.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep9	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep9.bam.bai
K562	Nsome	wgEncodeSydhNsomeK562AlnRep10	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep10.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep10	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep10.bam.bai
K562	Nsome	wgEncodeSydhNsomeK562AlnRep11	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep11.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep11	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep11.bam.bai
Gm12878	Control	wgEncodeBroadHistoneGm12878ControlStdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878ControlStdRawDataRep1.fastq.gz       
Gm12878	Control	wgEncodeBroadHistoneGm12878ControlStdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878ControlStdRawDataRep2.fastq.gz       
Gm12878	Ctcf	wgEncodeBroadHistoneGm12878CtcfStdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878CtcfStdRawDataRep1.fastq.gz          
